data,download_count
2024-12-06 12:0:0.0 +08:00,1020000
2024-12-08 12:0:0.0 +08:00,1140000
2024-12-12 12:0:0.0 +08:00,1200000
2024-12-19 12:0:0.0 +08:00,1330000
2024-12-20 12:0:0.0 +08:00,1350000
2024-12-24 12:0:0.0 +08:00,1370000
2024-12-31 12:0:0.0 +08:00,1610000
2025-01-05 12:0:0.0 +08:00,1830000
2025-01-07 12:0:0.0 +08:00,1890000
2025-01-09 12:0:0.0 +08:00,1940000
2025-01-13 12:0:0.0 +08:00,2050000
2025-01-17 12:0:0.0 +08:00,2070000
2025-01-18 12:0:0.0 +08:00,2120000
2025-01-20 12:0:0.0 +08:00,2160000
2025-01-22 12:0:0.0 +08:00,2210000
2025-01-26 12:0:0.0 +08:00,2350000
2025-02-02 12:0:0.0 +08:00,2500000
2025-02-06 12:0:0.0 +08:00,2550000
2025-02-10 12:0:0.0 +08:00,2640000
2025-02-18 12:0:0.0 +08:00,2930000
2025-03-05 12:0:0.0 +08:00,3210000
2025-03-23 12:0:0.0 +08:00,3580000
2025-04-06 12:0:0.0 +08:00,3720000
2025-04-09 12:0:0.0 +08:00,3790000
2025-04-17 12:0:0.0 +08:00,3830000
2025-04-27 12:0:0.0 +08:00,3850000
2025-05-15 12:0:0.0 +08:00,4410000
2025-05-28 12:0:0.0 +08:00,4910000
2025-05-29 12:0:0.0 +08:00,4930000
2025-05-30 12:0:0.0 +08:00,4950000
2025-05-31 12:0:0.0 +08:00,5030000
2025-06-01 12:0:0.0 +08:00,5120000
2025-06-02 12:0:0.0 +08:00,5160000
2025-06-04 12:0:0.0 +08:00,5230000
2025-06-07 12:0:0.0 +08:00,5560000
2025-06-10 12:0:0.0 +08:00,5700000
2025-06-13 12:0:0.0 +08:00,5860000
2025-06-16 12:0:0.0 +08:00,6000000
2025-06-23 12:0:0.0 +08:00,6180000
2025-06-25 12:0:0.0 +08:00,6240000
2025-06-26 12:0:0.0 +08:00,6260000
2025-06-27 12:0:0.0 +08:00,6630000
2025-06-28 12:0:0.0 +08:00,7060000
2025-06-30 12:0:0.0 +08:00,7150000
2025-07-01 12:0:0.0 +08:00,7250000
2025-07-02 12:0:0.0 +08:00,7290000
2025-07-03 12:0:0.0 +08:00,7330000
2025-07-04 12:0:0.0 +08:00,7380000
2025-07-05 12:0:0.0 +08:00,7430000
2025-07-06 12:0:0.0 +08:00,7480000
2025-07-07 12:0:0.0 +08:00,7540000
2025-07-08 12:0:0.0 +08:00,7590000
2025-07-09 12:0:0.0 +08:00,7640000
2025-07-10 12:0:0.0 +08:00,7810000
2025-07-12 12:0:0.0 +08:00,8180000
2025-07-13 12:0:0.0 +08:00,8340000
2025-07-14 12:0:0.0 +08:00,8400000
2025-07-16 12:0:0.0 +08:00,8450000
2025-07-17 12:0:0.0 +08:00,8480000
2025-07-18 12:0:0.0 +08:00,8540000
2025-07-19 12:0:0.0 +08:00,8600000
2025-07-20 12:0:0.0 +08:00,8800000
2025-07-21 12:0:0.0 +08:00,9080000
2025-07-22 12:0:0.0 +08:00,9280000
2025-07-24 12:0:0.0 +08:00,9480000
2025-07-25 12:0:0.0 +08:00,9690000
2025-07-26 12:0:0.0 +08:00,9900000
2025-07-27 12:0:0.0 +08:00,10120000
2025-07-29 12:0:0.0 +08:00,10580000
2025-07-30 12:0:0.0 +08:00,10800000
2025-07-31 12:0:0.0 +08:00,11030000
2025-08-01 12:0:0.0 +08:00,11150000
2025-08-02 12:0:0.0 +08:00,11330000
2025-08-04 12:0:0.0 +08:00,11420000
2025-08-05 12:0:0.0 +08:00,11510000
2025-08-06 12:0:0.0 +08:00,11570000
2025-08-07 12:0:0.0 +08:00,11640000
2025-08-09 12:0:0.0 +08:00,11810000
2025-08-11 12:0:0.0 +08:00,12140000
2025-08-13 12:0:0.0 +08:00,12250000
2025-08-16 12:0:0.0 +08:00,12580000
2025-08-18 12:0:0.0 +08:00,12800000
2025-08-19 12:0:0.0 +08:00,12910000
2025-08-20 12:0:0.0 +08:00,13000000
2025-08-21 12:0:0.0 +08:00,13170000
2025-08-23 12:0:0.0 +08:00,13380000
2025-08-25 12:0:0.0 +08:00,13600000
2025-08-27 12:0:0.0 +08:00,13690000
2025-08-28 12:0:0.0 +08:00,13770000
2025-08-30 12:0:0.0 +08:00,13960000
2025-09-01 12:0:0.0 +08:00,14210000
2025-09-02 12:0:0.0 +08:00,14330000
