游戏名称,上架平台,游戏类型,上架时间,开发者,备注,访问链接
成语升官,手机(平板可下载),休闲益智,2025/10/01,上海娱玩熊信息科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.chengyushengguan.huawei&channelId=SHARE&source=appshare
空当接龙龙,手机(平板可下载),棋牌桌游,2025/10/01,上海娱玩熊信息科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.kongdangjielong.huawei&channelId=SHARE&source=appshare
搬砖之王,手机(平板可下载),经营策略,2025/10/01,武汉昀路安洋信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.hdgm.bzzw.harm&channelId=SHARE&source=appshare
疯狂烧烤摊,手机(平板可下载),休闲益智,2025/10/01,武汉昀路安洋信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.hsksx.fkskt.harm&channelId=SHARE&source=appshare
冰箱收纳,手机和平板,休闲益智,2025/09/30,武汉觅趣科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.bxsn.fridgeh.harm&channelId=SHARE&source=appshare
红警OL,手机(平板可下载),经营策略,2025/09/30,深圳市腾讯计算机系统有限公司,群友 柚子games 提供，游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.tmgp.hjol.hw&channelId=SHARE&source=appshare
液态排序,手机(平板可下载),休闲益智,2025/09/30,武汉昀路安洋信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.uspxhm.ytpx.harm&channelId=SHARE&source=appshare
插花消除,手机(平板可下载),休闲益智,2025/09/30,武汉昀路安洋信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.cchsx.chxc.harm&channelId=SHARE&source=appshare
星痕共鸣,手机(平板可下载),角色扮演,2025/09/29,深圳市腾讯计算机系统有限公司,,https://appgallery.huawei.com/app/detail?id=com.tencent.wlfz.huawei&channelId=SHARE&source=appshare
龙息：神寂,手机(平板可下载),角色扮演,2025/09/29,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.dragoncn.hw&channelId=SHARE&source=appshare
桃源深处有人家,手机和平板,经营策略,2025/09/29,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.fiftyone.yc.hw&channelId=SHARE&source=appshare
新剑侠情缘,手机和平板,角色扮演,2025/09/29,深圳市腾讯计算机系统有限公司,,https://appgallery.huawei.com/app/detail?id=com.tencent.tmgp.jxqy.hw&channelId=SHARE&source=appshare
穿越火线-枪战王者,手机和平板,动作射击,2025/09/28,深圳市腾讯计算机系统有限公司,,https://appgallery.huawei.com/app/detail?id=com.tencent.tmgp.cf.hw&channelId=SHARE&source=appshare
华夏绘世录,手机(平板可下载),经营策略,2025/09/28,上海三狸网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.sanligame.hxhsl.os.huawei&channelId=SHARE&source=appshare
无尽纷争,手机(平板可下载),角色扮演,2025/09/28,四川繁羽开天科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.ssgame.wujin.harmony_1.huawei&channelId=SHARE&source=appshare
夺帅,手机、平板和电脑,经营策略,2025/09/28,上海祺卡网络技术有限公司,重新上架,https://appgallery.huawei.com/app/detail?id=com.qika.ds.azh.hm&channelId=SHARE&source=appshare
后发制人,手机和平板,角色扮演,2025/09/28,深圳市绿洲互动娱乐科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.hos.oasis.hfzr.huawei&channelId=SHARE&source=appshare
魔法螺丝钉,手机(平板可下载),休闲益智,2025/09/28,广州鼎亿信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.uncdlshm.mflsd.harm&channelId=SHARE&source=appshare
3D方块消,手机(平板可下载),休闲益智,2025/09/27,武汉宝乐佳信息科技有限公司,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.hlpp.fkx3d.harm&channelId=SHARE&source=appshare
美食小当家,手机(平板可下载),经营策略,2025/09/26,青岛蓝飞互娱科技股份有限公司,MeoW友 f09c50** 提供，游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.liuxinkeji.cooking.madness.hm&channelId=SHARE&source=appshare
窗台上的蝴蝶,手机和平板,休闲益智,2025/09/26,上海胖布丁网络科技有限公司,游戏中心预约-1，收费下载应用，需通过链接进入详情页或游戏中心搜索,https://appgallery.huawei.com/app/detail?id=com.cottongame.reviverhm.huawei&channelId=SHARE&source=appshare
石灵圣域,手机、平板和电脑,角色扮演,2025/09/26,杭州辰游网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.cy.slsy.huawei&channelId=SHARE&source=appshare
破阵勇士,手机和平板,角色扮演,2025/09/26,海南宸熙文化传媒有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.cx.pzysoh.huawei&channelId=SHARE&source=appshare
弓箭传说2,手机和平板,动作射击,2025/09/26,上海乐钻科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.xq.archeroii.hm&channelId=SHARE&source=appshare
