应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
身份验证器,手机(平板可下载),工具,2025/10/01,佛山市蓝色图灵科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.mfaotp.authenticator.hm&channelId=SHARE&source=appshare
AR星座,手机(平板可下载),工具,2025/10/01,深圳市幻实科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.fancyar.arxz&channelId=SHARE&source=appshare
木鸟民宿,手机(平板可下载),旅游,2025/09/30,北京爱游易科技有限公司,MeoW友 f09c50** 提供,https://appgallery.huawei.com/app/detail?id=com.muniao.hmapp&channelId=SHARE&source=appshare
爱藏,手机(平板可下载),购物,2025/09/30,广州爱藏网信息技术有限公司,群友 雄鹰 提供,https://appgallery.huawei.com/app/detail?id=com.airmb.w&channelId=SHARE&source=appshare
好轻,手机(平板可下载),运动健康,2025/09/30,深圳云麦科技有限公司,群友 衡宽之气在勇警 提供,https://appgallery.huawei.com/app/detail?id=com.yunmai.hmhaoqing&channelId=SHARE&source=appshare
flomo浮墨笔记,手机和平板,商务,2025/09/30,上海仙蒂网络科技有限公司,MeoW友 榴莲千层螺** 提供,https://appgallery.huawei.com/app/detail?id=com.flomo.ohapp&channelId=SHARE&source=appshare
闪送商家版,手机(平板可下载),生活服务,2025/09/30,北京同城必应科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.ishansong.shop&channelId=SHARE&source=appshare
ClassIn,手机(平板可下载),教育,2025/09/30,北京翼鸥教育科技有限公司,重新上架，该版本为手机版，与平板/PC端的ClassIn为不同的APP,https://appgallery.huawei.com/app/detail?id=cn.eeo.hos.classin.mobile&channelId=SHARE&source=appshare
家长守护助手家长端,手机(平板可下载),工具,2025/09/29,湖北戎安和力科技有限公司,群友 衡宽之气在勇警 提供,https://appgallery.huawei.com/app/detail?id=com.rahl.jzshzs&channelId=SHARE&source=appshare
海银之家,手机(平板可下载),工具,2025/09/29,海银智慧（厦门）科技有限公司,群友 让一切随风 提供，已下架,https://appgallery.huawei.com/app/detail?id=com.erling.hyzj&channelId=SHARE&source=appshare
云课堂,手机(平板可下载),教育,2025/09/29,重庆鼎维网络科技有限公司,群友 志焕 提供,https://appgallery.huawei.com/app/detail?id=com.zhidian.ykthm&channelId=SHARE&source=appshare
5G宽视界(沃视频),手机(平板可下载),影视与直播,2025/09/29,联通视频科技有限公司,MeoW友 f09c50** 提供,https://appgallery.huawei.com/app/detail?id=com.chinaunicomvideo.wotvapp&channelId=SHARE&source=appshare
纷玩岛,手机(平板可下载),生活服务,2025/09/29,上海名辉文化发展有限公司,群友 喜欢橘子皮 提供,https://appgallery.huawei.com/app/detail?id=cn.com.livelab.huawei&channelId=SHARE&source=appshare
渝通行,手机(平板可下载),生活服务,2025/09/29,重庆城市通卡支付有限责任公司,群友 雨下纪事 提供,https://appgallery.huawei.com/app/detail?id=hap.app.cqtk.com.cn&channelId=SHARE&source=appshare
欧路词典,手机和平板,教育,2025/09/29,上海倩言网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.eusoft.eudic.hm&channelId=SHARE&source=appshare
掌上西政,手机(平板可下载),生活服务,2025/09/28,湖南汉马科技有限公司,群友 让一切随风 提供,https://appgallery.huawei.com/app/detail?id=com.qzkj.swupl&channelId=SHARE&source=appshare
友轻舟,手机和平板,商务,2025/09/28,深圳联友科技有限公司广州分公司,群友 让一切随风 提供,https://appgallery.huawei.com/app/detail?id=com.lanyou.hos.ilink&channelId=SHARE&source=appshare
渝智行,手机(平板可下载),出行导航,2025/09/28,重庆通渝科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.wtkj.cqetc&channelId=SHARE&source=appshare
二维码生成美化器,手机(平板可下载),工具,2025/09/28,长沙巧希网络技术有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiaoxi18.harmonyewmsc&channelId=SHARE&source=appshare
智慧教育,手机(平板可下载),教育,2025/09/28,教育部教育技术与资源发展中心（中央电化教育馆）,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.dianjiao.eduyun.hm&channelId=SHARE&source=appshare
小红书千帆,手机和平板,商务,2025/09/28,行吟信息科技（上海）有限公司,群友 衡宽之气在勇警 提供,https://appgallery.huawei.com/app/detail?id=com.xingin.eva_hos&channelId=SHARE&source=appshare
Tenda WiFi,手机(平板可下载),工具,2025/09/28,深圳市吉祥腾达科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.tendawifi.router.app&channelId=SHARE&source=appshare
橙子进销存,手机(平板可下载),商务,2025/09/27,深圳市呼啦信息科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.orangeoffice.jxc.hm&channelId=SHARE&source=appshare
违章交通通,手机(平板可下载),工具,2025/09/27,杭州四合创梦科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lujing.wzjtt&channelId=SHARE&source=appshare
BIM建模师考点速记,手机(平板可下载),教育,2025/09/27,长沙博聚信息科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxhms.degreeengbj&channelId=SHARE&source=appshare
instatool,手机(平板可下载),拍摄美化,2025/09/27,广州立顺信息技术咨询有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.instatool.lsxxhm&channelId=SHARE&source=appshare
比比价格,手机(平板可下载),工具,2025/09/27,长沙铎匀网络科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dy.bbhm&channelId=SHARE&source=appshare
记衣记,手机和平板,工具,2025/09/27,广州丝音信息技术有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sy.jyj&channelId=SHARE&source=appshare
超级应用锁,手机(平板可下载),工具,2025/09/27,广州吾游盒信息服务有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=iphione.com.hom&channelId=SHARE&source=appshare
戒·记,手机(平板可下载),工具,2025/09/27,尹春德,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.abouttime.cigarette&channelId=SHARE&source=appshare
骑行营地,手机(平板可下载),工具,2025/09/27,魏磊,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qx.weilei&channelId=SHARE&source=appshare
保安员学考帮,手机、平板和电脑,教育,2025/09/27,广州云钛科技有限责任公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xkboh.ba&channelId=SHARE&source=appshare
色彩密语,手机(平板可下载),工具,2025/09/26,赵俊,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.guqu.colorwhisper&channelId=SHARE&source=appshare
浮光卡片,手机和平板,工具,2025/09/26,倪俊,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.widget4.card.huawei&channelId=SHARE&source=appshare
WPUSH消息推送,手机(平板可下载),工具,2025/09/26,南昌凌侠科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.wpush.app&channelId=SHARE&source=appshare
文职题库帮,手机(平板可下载),教育,2025/09/26,重庆师之航教育科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.tkb.hm.youliyouhuo&channelId=SHARE&source=appshare
师之航军考,手机(平板可下载),教育,2025/09/26,重庆师之航教育科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.szh.hm.youliyouhuo&channelId=SHARE&source=appshare
军考课堂,手机(平板可下载),教育,2025/09/26,重庆师之航教育科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jkkt.hm.youliyouhuo&channelId=SHARE&source=appshare
社会工作者题库帮,手机(平板可下载),教育,2025/09/26,重庆师之航教育科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shgztk.hm.youliyouhuo&channelId=SHARE&source=appshare
旅游规划,手机(平板可下载),旅游,2025/09/26,成都森淼湖科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yxhtian.travel.hos&channelId=SHARE&source=appshare
WFS万能钥匙,手机(平板可下载),工具,2025/09/26,长沙快玩乐园信息科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=kuwa.wfwa.neyss&channelId=SHARE&source=appshare
扣杀记分簿,手机(平板可下载),工具,2025/09/26,孙美露,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.kousha&channelId=SHARE&source=appshare
造价师题库宝,手机(平板可下载),教育,2025/09/26,孙美露,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.zaojia&channelId=SHARE&source=appshare
文韵谜境,手机(平板可下载),工具,2025/09/26,孙美露,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.wenyun&channelId=SHARE&source=appshare
硬件工程师助手,手机和平板,工具,2025/09/26,谢礼坤,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=HEAssistant.jiandandian245.com&channelId=SHARE&source=appshare
自然壁纸,手机(平板可下载),主题,2025/09/26,长沙奕欢互联网有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zrbz.qinglan.huawei&channelId=SHARE&source=appshare
动能盒,手机(平板可下载),运动健康,2025/09/26,长沙奕欢互联网有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=dongnenghe.qinglanzhuma.huawei&channelId=SHARE&source=appshare
Smart Cook,手机(平板可下载),工具,2025/09/26,尹春德,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.abouttime.smartcook&channelId=SHARE&source=appshare
天天军棋,手机(平板可下载),教育,2025/09/26,广州亿书科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.openios.jdchess&channelId=SHARE&source=appshare
绝美证件照,手机(平板可下载),拍摄美化,2025/09/26,北京德晨网络科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dechennet4.hmapp&channelId=SHARE&source=appshare
C语言编译器助手,手机和平板,工具,2025/09/26,武汉柒号教室科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.newcyuyanhm&channelId=SHARE&source=appshare
吉他调音和弦教程,手机和平板,音乐,2025/09/26,武汉柒号教室科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.jitahexianjiaocheng&channelId=SHARE&source=appshare
果优选,手机(平板可下载),工具,2025/09/26,王洪雨,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.guoyouxuan&channelId=SHARE&source=appshare
彩虹童年录,手机(平板可下载),儿童,2025/09/26,王洪雨,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.caihong&channelId=SHARE&source=appshare
